REGION,PROVINCIA,COMUNA,DISTRITO,COD_DISTRI,COD_LOCALI,COD_ENTIDA,CATEGORIA,PERSONAS,HOMBRES,MUJERES,DE_0_A_5_A,DE_6_A_14_,DE_15_A_64,DE_65_MAS_,INMIGRANTE,PUEBLOS_OR,VIVIENDAS_,VIVIENDAS1,VIV_OCUPAD,TOTAL_VIVI,TOT_HOGARE,CASA,DEPTO,VIV_INDIGE,CONVENTILL,MEDIAGUA,MOVIL,OTRA_VIV_P,VIV_HORMIG,VIV_ALBANI,VIV_TABIQU,VIV_TABI_1,VIV_ADOBE,VIV_PARED_,VIV_TEJAS_,VIV_LOSA_H,VIV_PLANCH,VIV_FONOLI,VIV_PAJA,VIV_TECHO_,VIV_SIN_TE,VIV_PARQUE,VIV_RADIER,VIV_BALDOS,VIV_CAPA_C,VIV_PISO_T,IND_MAT_AC,IND_MAT_RE,IND_MAT_IR,VIV_AGUA_R,VIV_AGUA_P,VIV_AGUA_C,VIV_AGUA_1,x,y
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,6,9,1,156,72,84,9,26,115,6,0,Indeterminado,55,0,54,55,55,55,0,0,0,0,0,0,6,48,0,0,0,0,9,0,45,0,0,0,0,54,0,0,0,0,54,0,0,54,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,6,8,1,157,67,90,8,28,110,11,Indeterminado,11,52,0,48,52,49,52,0,0,0,0,0,0,0,48,0,0,0,0,10,0,38,0,0,0,0,47,0,1,0,0,47,1,0,48,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,5,3,1,76,39,37,7,8,52,9,0,9,25,0,23,25,23,25,0,0,0,0,0,0,0,23,0,0,0,0,0,0,23,0,0,0,0,23,0,0,0,0,23,0,0,23,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,6,7,1,153,72,81,13,18,101,21,0,6,52,0,51,52,51,52,0,0,0,0,0,0,2,48,1,0,0,0,9,0,41,1,0,0,0,50,0,1,0,0,49,2,0,51,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,4,55,1,48,21,27,Indeterminado,6,36,Indeterminado,5,9,17,0,16,17,16,16,0,0,0,0,0,1,1,7,6,2,0,0,1,0,15,0,0,0,0,15,1,0,0,0,13,3,0,16,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,4,65,1,85,43,42,7,9,62,7,Indeterminado,8,27,0,26,27,26,27,0,0,0,0,0,0,0,3,19,4,0,0,6,0,20,0,0,0,0,25,0,1,0,0,22,4,0,26,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,8,57,1,61,37,24,Indeterminado,Indeterminado,46,10,Indeterminado,Indeterminado,20,0,18,20,18,20,0,0,0,0,0,0,4,4,4,5,1,0,0,0,18,0,0,0,0,18,0,0,0,0,12,6,0,17,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,4,502,1,88,43,45,8,13,56,11,Indeterminado,4,28,0,27,28,27,27,1,0,0,0,0,0,4,4,14,5,0,0,0,1,23,0,0,1,0,23,2,0,0,0,18,6,1,27,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,8,58,1,38,16,22,Indeterminado,Indeterminado,26,7,0,Indeterminado,19,0,16,19,16,19,0,0,0,0,0,0,1,5,8,0,2,0,1,0,15,0,0,0,0,16,0,0,0,0,14,2,0,15,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,3,9,1,100,54,46,10,8,74,8,7,Indeterminado,36,0,31,36,31,36,0,0,0,0,0,0,4,4,18,5,0,0,2,0,27,0,0,2,0,28,0,1,2,0,23,6,2,30,0,1,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,8,60,1,49,23,26,Indeterminado,Indeterminado,30,12,0,Indeterminado,22,0,18,22,18,21,0,0,0,0,0,1,1,2,4,10,0,0,3,0,13,0,0,0,0,18,0,0,0,0,6,10,0,16,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,6,13,1,24,10,14,Indeterminado,Indeterminado,20,Indeterminado,0,Indeterminado,8,0,8,8,8,8,0,0,0,0,0,0,1,7,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,8,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,8,61,1,75,36,39,10,5,53,7,9,7,18,0,17,18,18,18,0,0,0,0,0,0,0,6,8,3,0,0,0,0,17,0,0,0,0,17,0,0,0,0,14,3,0,17,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,3,26,1,104,52,52,7,12,66,19,0,8,33,0,30,33,30,33,0,0,0,0,0,0,1,4,13,11,1,0,1,0,26,0,0,3,0,26,0,4,0,0,14,13,3,29,1,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,3,21,1,185,92,93,15,23,124,23,9,16,54,0,51,54,54,52,0,0,0,2,0,0,0,6,28,13,2,2,4,0,44,1,0,2,0,49,2,0,0,0,33,15,3,46,5,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,8,62,1,30,16,14,Indeterminado,Indeterminado,24,Indeterminado,0,Indeterminado,15,0,15,15,15,15,0,0,0,0,0,0,0,1,7,3,2,2,2,0,12,0,0,1,0,12,0,1,2,0,6,7,2,15,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,5,15,1,145,73,72,10,21,110,4,Indeterminado,8,40,0,39,40,39,40,0,0,0,0,0,0,2,37,0,0,0,0,3,4,32,0,0,0,0,38,0,1,0,0,38,1,0,39,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,3,25,1,114,56,58,7,13,73,21,Indeterminado,5,40,0,40,40,40,40,0,0,0,0,0,0,1,7,28,3,1,0,2,0,37,0,0,1,0,39,0,1,0,0,34,5,1,40,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,6,15,1,52,20,32,5,11,28,8,0,Indeterminado,18,0,17,18,17,18,0,0,0,0,0,0,1,16,0,0,0,0,2,0,15,0,0,0,0,17,0,0,0,0,17,0,0,17,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,5,14,1,139,66,73,14,20,97,8,Indeterminado,10,44,0,42,44,43,44,0,0,0,0,0,0,1,40,1,0,0,0,2,2,38,0,0,0,0,42,0,0,0,0,42,0,0,42,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,5,13,1,125,57,68,6,12,98,9,4,11,44,0,44,44,44,44,0,0,0,0,0,0,1,43,0,0,0,0,42,1,1,0,0,0,0,42,0,2,0,0,42,2,0,44,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,4,67,1,18,7,11,Indeterminado,Indeterminado,12,Indeterminado,0,0,7,0,6,7,6,7,0,0,0,0,0,0,0,0,2,4,0,0,3,0,3,0,0,0,0,5,0,1,0,0,2,4,0,6,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,6,16,1,101,49,52,9,17,66,9,0,4,39,0,33,39,33,39,0,0,0,0,0,0,2,31,0,0,0,0,9,1,23,0,0,0,0,31,1,0,1,0,31,2,0,33,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,8,67,1,11,5,6,Indeterminado,0,8,Indeterminado,0,Indeterminado,10,0,6,10,6,8,0,0,0,0,0,2,0,2,4,0,0,0,1,0,5,0,0,0,0,6,0,0,0,0,6,0,0,6,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,3,22,1,125,60,65,13,10,87,15,6,9,40,0,38,40,38,40,0,0,0,0,0,0,2,6,23,7,0,0,3,0,35,0,0,0,0,20,0,15,3,0,17,21,0,38,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,3,24,1,87,48,39,5,11,58,13,Indeterminado,9,34,0,29,34,29,32,0,0,0,1,0,1,0,8,19,1,0,1,0,0,27,0,0,1,1,27,0,1,1,0,25,2,2,29,0,0,0,,
