id,tipo,nodo_inicial,destino,distancia_recorrida_m,tiempo_total_s,tiempo_evacuado_s,zona_evac_reached,evacuado,velocidad_promedio_m_s,tiempo_reaccion_s
67,abuelito,290001449,1303897599,2627.8,3600,,,False,0.7299444444444445,13.656486921750375
68,normal,1303897599,1303897599,3088.8579999998883,2930,2929.0,1303897599.0,True,1.054217747440235,5.046071165374503
69,normal,1303897599,1303897599,2329.690000000014,2092,2091.0,1303897599.0,True,1.113618546845131,9.398874443829019
70,normal,3659056983,3659056983,181.37100000000046,137,136.0,3659056983.0,True,1.3238759124087625,6.692905907200537
71,normal,1303897599,1303897599,3202.3919999999052,3161,3160.0,1303897599.0,True,1.0130945903194892,0.1784603402926277
72,normal,3659056983,3659056983,520.9249999999965,383,382.0,3659056983.0,True,1.360117493472576,9.386294188111231
73,normal,3659056983,3659056983,1216.9250000000025,891,890.0,3659056983.0,True,1.3657968574635269,9.258699845690314
74,normal,3659056983,3659056983,726.1479999999962,548,547.0,3659056983.0,True,1.3250875912408688,0.18063223125337147
75,normal,3659056983,3659056983,861.4909999999932,634,633.0,3659056983.0,True,1.3588186119873709,0.8716336800844338
76,normal,3659056983,3659056983,785.3539999999928,588,587.0,3659056983.0,True,1.3356360544217565,1.555830943190234
77,normal,3659056983,3659056983,549.4229999999964,397,396.0,3659056983.0,True,1.3839370277077994,1.5760049719197444
78,normal,3659056983,3659056983,2020.8210000000554,1554,1553.0,3659056983.0,True,1.3003996138996496,9.020681619491212
79,normal,3659056983,3659056983,1844.4130000000425,1514,1513.0,3659056983.0,True,1.2182384412153517,5.731024009397751
80,normal,3659056983,3659056983,1007.3689999999942,781,780.0,3659056983.0,True,1.2898450704225277,2.972764619116367
81,abuelito,3659056983,3659056983,2377.981,2896,2895.0,3659056983.0,True,0.8211260359116023,22.088709711580222
82,normal,3659056983,3659056983,1633.6450000000336,1300,1299.0,3659056983.0,True,1.2566500000000258,2.537837144806275
83,normal,3659056983,3659056983,339.0999999999993,249,248.0,3659056983.0,True,1.3618473895582301,5.208698070324411
84,normal,3659056983,3659056983,1598.7210000000246,1219,1218.0,3659056983.0,True,1.311502050861382,5.664402834125209
85,normal,1303897599,1303897599,1912.0310000000445,1599,1598.0,1303897599.0,True,1.1957667292057814,3.3051706225340327
86,normal,1303897599,1303897599,2374.882000000072,1875,1874.0,1303897599.0,True,1.2666037333333717,5.52534185840833
87,normal,3659056983,3659056983,443.6099999999986,329,328.0,3659056983.0,True,1.3483586626139774,4.310309172964639
88,normal,3659056983,3659056983,2775.070999999994,2409,2408.0,3659056983.0,True,1.1519597343295949,8.898188239036225
89,normal,1303897599,1303897599,2883.016999999946,2562,2561.0,1303897599.0,True,1.125299375487879,9.502700061182999
90,normal,1303897599,1303897599,1968.233000000043,1592,1591.0,1303897599.0,True,1.2363272613065597,5.56526603011274
91,normal,1303897599,1303897599,2033.2040000000522,1532,1531.0,1303897599.0,True,1.3271566579634806,9.150975358626924
92,normal,3659056983,3659056983,235.79700000000062,178,177.0,3659056983.0,True,1.3247022471910148,8.420816437161816
93,normal,3659056983,3659056983,1593.5620000000245,1156,1155.0,3659056983.0,True,1.378513840830471,2.5682599049481967
94,abuelito,3659056983,3659056983,495.975,539,538.0,3659056983.0,True,0.9201762523191095,25.39891257805973
95,normal,3659056983,3659056983,765.1109999999961,586,585.0,3659056983.0,True,1.3056501706484576,3.7973880029078497
96,normal,3659056983,3659056983,126.05100000000024,99,98.0,3659056983.0,True,1.2732424242424267,7.19840759043001
97,normal,3659056983,3659056983,2749.273000000015,2286,2285.0,3659056983.0,True,1.2026566054243286,8.588837519848468
98,normal,1303897599,1303897599,2972.0969999999415,2624,2623.0,1303897599.0,True,1.1326589176829045,5.029840898913863
99,abuelito,3659056983,3659056983,740.482,771,770.0,3659056983.0,True,0.9604176394293126,10.589103678963363
